Input.Word1,Input.Word2,HUMAN RATER SCORES,HUMAN RATER SCORES NORMALIZED
aghast,furious,4.6,0.46
aghast,mad,6.266666667,0.626666667
alarmed,distressed,7.733333333,0.773333333
alarmed,repelled,5.416666667,0.541666667
amazed,infuriated,0.571428571,0.057142857
amazed,perplexed,6,0.6
amused,disdainful,0.666666667,0.066666667
amused,irate,0.466666667,0.046666667
angry,confused,3.111111111,0.311111111
angry,perplexed,2.8,0.28
annoyed,discouraged,5.571428571,0.557142857
annoyed,discouraged,5.533333333,0.553333333
anxious,apprehensive,8.928571429,0.892857143
anxious,repulsed,3.2,0.32
appalled,alarmed,6.692307692,0.669230769
appalled,miffed,7.066666667,0.706666667
apprehensive,anxious,8.642857143,0.864285714
apprehensive,terrified,6.2,0.62
astonished,appalled,4.4,0.44
astonished,saddened,3.133333333,0.313333333
astounded,disgusted,2.733333333,0.273333333
astounded,surprised,9.142857143,0.914285714
awed,awed,10,1
awed,dejected,0.785714286,0.078571429
bewildered,appalled,5.466666667,0.546666667
bewildered,sorrowful,2.666666667,0.266666667
bored,confused,1.933333333,0.193333333
bored,joyful,0.4,0.04
bothered,cheerful,0.571428571,0.057142857
bothered,enraged,6.071428571,0.607142857
cheerful,outraged,0.214285714,0.021428571
cheerful,satisfied,6.533333333,0.653333333
concerned,frightened,5.2,0.52
concerned,sad,4.2,0.42
confused,elated,1.333333333,0.133333333
confused,startled,6.214285714,0.621428571
dejected,stunned,3.692307692,0.369230769
dejected,suspicious,3,0.3
delighted,uncertain,1.666666667,0.166666667
delighted,upset,0,0
depressed,angry,3.666666667,0.366666667
depressed,happy,0,0
disappointed,awed,0.461538462,0.046153846
disappointed,terrified,2.933333333,0.293333333
disbelieving,concerned,4.733333333,0.473333333
disbelieving,upset,3.933333333,0.393333333
discouraged,bothered,6,0.6
discouraged,bothered,5.933333333,0.593333333
disdainful,excited,0.571428571,0.057142857
disdainful,happy,0,0
disgusted,frightened,4.333333333,0.433333333
disgusted,repelled,9.083333333,0.908333333
dismayed,aghast,6.714285714,0.671428571
dismayed,cheerful,0.266666667,0.026666667
displeased,doubtful,3.133333333,0.313333333
displeased,miffed,8.461538462,0.846153846
dissatisfied,disappointed,8.6,0.86
dissatisfied,distressed,6.25,0.625
distressed,frustrated,7.2,0.72
distressed,pissed,7.333333333,0.733333333
doubtful,irritated,3.285714286,0.328571429
doubtful,rejected,5.2,0.52
elated,apprehensive,1.307692308,0.130769231
elated,astounded,5,0.5
enraged,hurt,5.2,0.52
enraged,mournful,2.6,0.26
excited,incensed,2.533333333,0.253333333
excited,repulsed,1.214285714,0.121428571
fearful,amazed,1.2,0.12
fearful,pissed,3,0.3
frightened,excited,2.133333333,0.213333333
frightened,sorrowful,4.333333333,0.433333333
frustrated,frustrated,10,1
frustrated,stupefied,4.8,0.48
furious,infuriated,10,1
furious,joyful,0,0
happy,delighted,9.533333333,0.953333333
happy,depressed,0,0
hostile,rejected,4.466666667,0.446666667
hostile,revolted,6.714285714,0.671428571
hurt,annoyed,4.733333333,0.473333333
hurt,bored,1.2,0.12
incensed,amazed,1.933333333,0.193333333
incensed,revolted,7,0.7
infuriated,astonished,2.266666667,0.226666667
infuriated,mournful,3.066666667,0.306666667
interested,amused,6.857142857,0.685714286
interested,neutral,1.4,0.14
irate,skeptical,2.866666667,0.286666667
irate,stunned,3.666666667,0.366666667
irritated,dismayed,6.538461538,0.653846154
irritated,satisfied,0,0
joyful,annoyed,0.333333333,0.033333333
joyful,stupefied,1.615384615,0.161538462
mad,disappointed,6.133333333,0.613333333
mad,displeased,8.4,0.84
miffed,concerned,3.5,0.35
miffed,fearful,1.833333333,0.183333333
mournful,doubtful,3.2,0.32
mournful,mad,3.333333333,0.333333333
neutral,bored,5.571428571,0.557142857
neutral,disbelieving,1.2,0.12
offended,elated,0.357142857,0.035714286
offended,surprised,1.769230769,0.176923077
outraged,hostile,7.466666667,0.746666667
outraged,interested,1.266666667,0.126666667
perplexed,dissatisfied,3.866666667,0.386666667
perplexed,irritated,3.533333333,0.353333333
pissed,displeased,8,0.8
pissed,fearful,4.066666667,0.406666667
pleased,enraged,0,0
pleased,scared,0.533333333,0.053333333
rejected,offended,5.8,0.58
rejected,worried,4.2,0.42
repelled,aghast,5.4,0.54
repelled,disbelieving,4.642857143,0.464285714
repulsed,alarmed,4.666666667,0.466666667
repulsed,hurt,5.266666667,0.526666667
resentful,bewildered,2.666666667,0.266666667
resentful,scornful,7.866666667,0.786666667
revolted,irate,6.466666667,0.646666667
revolted,shocked,7.357142857,0.735714286
sad,bewildered,3.357142857,0.335714286
sad,dissatisfied,6.533333333,0.653333333
saddened,astounded,2.6,0.26
saddened,uncertain,3.533333333,0.353333333
satisfied,delighted,7.6,0.76
satisfied,skeptical,0.866666667,0.086666667
scared,interested,0.785714286,0.078571429
scared,resentful,2.6,0.26
scornful,depressed,4.866666667,0.486666667
scornful,neutral,0.384615385,0.038461538
shocked,angry,4.857142857,0.485714286
shocked,outraged,7.133333333,0.713333333
skeptical,disgusted,2.5,0.25
skeptical,scornful,3.266666667,0.326666667
sorrowful,pleased,0.214285714,0.021428571
sorrowful,suspicious,2.8,0.28
startled,resentful,1.8,0.18
startled,shocked,8.8,0.88
stunned,anxious,4.066666667,0.406666667
stunned,worried,4.466666667,0.446666667
stupefied,furious,3.2,0.32
stupefied,pleased,1.066666667,0.106666667
surprised,dismayed,3.866666667,0.386666667
surprised,incensed,3.214285714,0.321428571
suspicious,amused,0.8,0.08
suspicious,disdainful,4.266666667,0.426666667
terrified,hostile,5.461538462,0.546153846
terrified,saddened,3.5,0.35
uncertain,offended,2.266666667,0.226666667
uncertain,startled,4.466666667,0.446666667
upset,sad,8.615384615,0.861538462
upset,scared,5.533333333,0.553333333
worried,astonished,2.727272727,0.272727273
worried,dejected,5.066666667,0.506666667
